observatorio name,item code,item
Ingresos corrientes,1.1.02.02.118,INCENTIVO POR APROVECHAMIENTO DE RESIDUOS SOLIDOS
Ingresos corrientes,1.1.02.02.119,TRAMITE DE LICENCIAS DE FUNCIONAMIENTO Y REGISTRO DE PROGRAMAS DE EDUCACION PARA EL TRABAJO Y EL DESARROLLO HUMANO
Ingresos corrientes,1.1.02.02.120,CONTRAPRESTACIONES POR EL USO DEL ESPACIO PUBLICO
Ingresos corrientes,1.1.02.02.121,INFRAESTRUCTURA NUEVA PARA MINIMIZAR LA CONGESTION
Ingresos corrientes,1.1.02.02.122,AREAS DE RESTRICCION VEHICULAR
Ingresos corrientes,1.1.02.02.134,TASA DE NOMENCLATURA URBANA - CUENTA BAJO PRESUNCION DE LEGALIDAD (BUCARAMANGA)
Ingresos corrientes,1.1.02.03,"MULTAS, SANCIONES E INTERESES DE MORA"
Ingresos corrientes,1.1.02.03.001,MULTAS Y SANCIONES
Ingresos corrientes,1.1.02.03.001.03,SANCIONES DISCIPLINARIAS
Ingresos corrientes,1.1.02.03.001.04,SANCIONES CONTRACTUALES
Ingresos corrientes,1.1.02.03.001.05,SANCIONES ADMINISTRATIVAS
Ingresos corrientes,1.1.02.03.001.06,SANCIONES FISCALES
Ingresos corrientes,1.1.02.03.001.09,MULTAS DE TRANSITO Y TRANSPORTE
Ingresos corrientes,1.1.02.03.001.11,SANCIONES TRIBUTARIAS
Ingresos corrientes,1.1.02.03.001.13,SANCIONES SANITARIAS
Ingresos corrientes,1.1.02.03.001.17,MULTAS Y SANCIONES POR INFRACCIONES AL REGIMEN DEL MONOPOLIO DE JUEGOS DE SUERTE Y AZAR
Ingresos corrientes,1.1.02.03.001.18,MULTAS Y SANCIONES POR VIOLACION AL REGIMEN DE VENTA DE MEDICAMENTOS CONTROLADOS
Ingresos corrientes,1.1.02.03.001.19,MULTAS DE SAN ANDRES OCCRE
Ingresos corrientes,1.1.02.03.001.20,MULTAS CODIGO NACIONAL DE SEGURIDAD Y CONVIVENCIA CIUDADANA
Ingresos corrientes,1.1.02.03.001.20.01,MULTAS CODIGO NACIONAL DE SEGURIDAD Y CONVIVENCIA CIUDADANA - MULTAS GENERALES
Ingresos corrientes,1.1.02.03.001.20.02,MULTAS CODIGO NACIONAL DE SEGURIDAD Y CONVIVENCIA CIUDADANA - MULTAS ESPECIALES
Ingresos corrientes,1.1.02.03.001.21,MULTA POR INCUMPLIMIENTO EN EL REGISTRO DE MARCAS Y HERRETES
Ingresos corrientes,1.1.02.03.001.22,MULTAS AMBIENTALES
Ingresos corrientes,1.1.02.03.001.23,SANCIONES URBANISTICAS
Ingresos corrientes,1.1.02.03.002,INTERESES DE MORA
Ingresos corrientes,1.1.02.05,VENTA DE BIENES Y SERVICIOS
Ingresos corrientes,1.1.02.05.001,VENTAS DE ESTABLECIMIENTOS DE MERCADO
Ingresos corrientes,1.1.02.05.001.00,"AGRICULTURA, SILVICULTURA Y PRODUCTOS DE LA PESCA"
Ingresos corrientes,1.1.02.05.001.01,"MINERALES, ELECTRICIDAD, GAS Y AGUA"
Ingresos corrientes,1.1.02.05.001.02,"PRODUCTOS ALIMENTICIOS, BEBIDAS Y TABACO, TEXTILES, PRENDAS DE VESTIR Y PRODUCTOS DE CUERO"
Ingresos corrientes,1.1.02.05.001.03,"OTROS BIENES TRANSPORTABLES EXCEPTO PRODUCTOS METALICOS, MAQUINARIA Y EQUIPO"
Ingresos corrientes,1.1.02.05.001.04,"PRODUCTOS METALICOS, MAQUINARIA Y EQUIPO"
Ingresos corrientes,1.1.02.05.001.05,CONSTRUCCION Y SERVICIOS DE LA CONSTRUCCION
Ingresos corrientes,1.1.02.05.001.06,"COMERCIO Y DISTRIBUCION; ALOJAMIENTO; SERVICIOS DE SUMINISTRO DE COMIDAS Y BEBIDAS; SERVICIOS DE TRANSPORTE; Y SERVICIOS DE DISTRIBUCION DE ELECTRICIDAD, GAS Y AGUA"
Ingresos corrientes,1.1.02.05.001.07,SERVICIOS FINANCIEROS Y SERVICIOS CONEXOS; SERVICIOS INMOBILIARIOS; Y SERVICIOS DE ARRENDAMIENTO Y LEASING
Ingresos corrientes,1.1.02.05.001.08,SERVICIOS PRESTADOS A LAS EMPRESAS Y SERVICIOS DE PRODUCCION
Ingresos corrientes,1.1.02.05.001.09,"SERVICIOS PARA LA COMUNIDAD, SOCIALES Y PERSONALES"
Ingresos corrientes,1.1.02.05.002,VENTAS INCIDENTALES DE ESTABLECIMIENTOS NO DE MERCADO
Ingresos corrientes,1.1.02.05.002.00,"AGRICULTURA, SILVICULTURA Y PRODUCTOS DE LA PESCA"
Ingresos corrientes,1.1.02.05.002.01,"MINERALES, ELECTRICIDAD, GAS Y AGUA"
Ingresos corrientes,1.1.02.05.002.02,"PRODUCTOS ALIMENTICIOS, BEBIDAS Y TABACO, TEXTILES, PRENDAS DE VESTIR Y PRODUCTOS DE CUERO"
Ingresos corrientes,1.1.02.05.002.03,"OTROS BIENES TRANSPORTABLES EXCEPTO PRODUCTOS METALICOS, MAQUINARIA Y EQUIPO"
Ingresos corrientes,1.1.02.05.002.04,"PRODUCTOS METALICOS, MAQUINARIA Y EQUIPO"
Ingresos corrientes,1.1.02.05.002.05,CONSTRUCCION Y SERVICIOS DE LA CONSTRUCCION
Ingresos corrientes,1.1.02.05.002.06,"COMERCIO Y DISTRIBUCION; ALOJAMIENTO; SERVICIOS DE SUMINISTRO DE COMIDAS Y BEBIDAS; SERVICIOS DE TRANSPORTE; Y SERVICIOS DE DISTRIBUCION DE ELECTRICIDAD, GAS Y AGUA"
Ingresos corrientes,1.1.02.05.002.07,SERVICIOS FINANCIEROS Y SERVICIOS CONEXOS; SERVICIOS INMOBILIARIOS; Y SERVICIOS DE ARRENDAMIENTO Y LEASING
Ingresos corrientes,1.1.02.05.002.08,SERVICIOS PRESTADOS A LAS EMPRESAS Y SERVICIOS DE PRODUCCION
Ingresos corrientes,1.1.02.05.002.09,"SERVICIOS PARA LA COMUNIDAD, SOCIALES Y PERSONALES"
Ingresos corrientes,1.1.02.07,PARTICIPACION Y DERECHOS POR MONOPOLIO
Ingresos corrientes,1.1.02.07.001,DERECHOS POR LA EXPLOTACION JUEGOS DE SUERTE Y AZAR
Ingresos corrientes,1.1.02.07.001.01,DERECHOS POR LA EXPLOTACION JUEGOS DE SUERTE Y AZAR DE EVENTOS HIPICOS
Ingresos corrientes,1.1.02.07.001.02,DERECHOS POR LA EXPLOTACION JUEGOS DE SUERTE Y AZAR DE LOTERIA INSTANTANEA Y LOTTO IMPRESO
Ingresos corrientes,1.1.02.07.001.03,DERECHOS POR LA EXPLOTACION JUEGOS DE SUERTE Y AZAR DE LOTERIA TRADICIONAL
Ingresos corrientes,1.1.02.07.001.04,DERECHOS POR LA EXPLOTACION JUEGOS DE SUERTE Y AZAR DE APUESTAS PERMANENTES O CHANCE
Ingresos corrientes,1.1.02.07.001.05,DERECHOS POR LA EXPLOTACION JUEGOS DE SUERTE Y AZAR DE RIFAS
Ingresos corrientes,1.1.02.07.001.06,DERECHOS POR LA EXPLOTACION JUEGOS DE SUERTE Y AZAR DE JUEGOS PROMOCIONALES
Ingresos corrientes,1.1.02.07.001.07,DERECHOS POR LA EXPLOTACION JUEGOS DE SUERTE Y AZAR DE JUEGOS LOCALIZADOS
Ingresos corrientes,1.1.02.07.001.08,"DERECHOS POR LA EXPLOTACION JUEGOS DE SUERTE Y AZAR DE EVENTOS DEPORTIVOS, GALLISTICOS, CANINOS Y SIMILARES"
Ingresos corrientes,1.1.02.07.001.09,DERECHOS POR LA EXPLOTACION JUEGOS DE SUERTE Y AZAR DE JUEGOS NOVEDOSOS
Ingresos corrientes,1.1.02.07.002,PARTICIPACION Y DERECHOS DE EXPLOTACION DEL EJERCICIO DEL MONOPOLIO DE LICORES DESTILADOS Y ALCOHOLES POTABLES
Ingresos corrientes,1.1.02.07.002.01,PARTICIPACION Y DERECHOS DE EXPLOTACION DEL EJERCICIO DEL MONOPOLIO DE LICORES DESTILADOS
Ingresos corrientes,1.1.02.07.002.01.01,DERECHOS DE MONOPOLIO POR LA PRODUCCION DE LICORES DESTILADOS
Ingresos corrientes,1.1.02.07.002.01.02,DERECHOS DE MONOPOLIO POR LA INTRODUCCION DE LICORES DESTILADOS
Ingresos corrientes,1.1.02.07.002.01.02.01,DERECHOS DE MONOPOLIO POR LA INTRODUCCION DE LICORES DESTILADOS DE PRODUCCION NACIONAL
Ingresos corrientes,1.1.02.07.002.01.02.02,DERECHOS DE MONOPOLIO POR LA INTRODUCCION DE LICORES DESTILADOS DE PRODUCCION EXTRANJERA
Ingresos corrientes,1.1.02.07.002.01.03,PARTICIPACION POR EL CONSUMO DE LICORES DESTILADOS
Ingresos corrientes,1.1.02.07.002.01.03.01,PARTICIPACION POR EL CONSUMO DE LICORES DESTILADOS PRODUCIDOS
Ingresos corrientes,1.1.02.07.002.01.03.02,PARTICIPACION POR EL CONSUMO DE LICORES DESTILADOS INTRODUCIDOS
Ingresos corrientes,1.1.02.07.002.01.03.02.01,PARTICIPACION POR EL CONSUMO DE LICORES DESTILADOS INTRODUCIDOS DE PRODUCCION NACIONAL
Ingresos corrientes,1.1.02.07.002.01.03.02.02,PARTICIPACION POR EL CONSUMO DE LICORES DESTILADOS INTRODUCIDOS DE PRODUCCION EXTRANJERA
Ingresos corrientes,1.1.02.07.002.01.03.02.02.01,PARTICIPACION POR EL CONSUMO DE LICORES DESTILADOS INTRODUCIDOS DE PRODUCCION EXTRANJERA RECAUDADO POR FONDO CUENTA DE LA FND
Ingresos corrientes,1.1.02.07.002.01.03.02.02.02,PARTICIPACION POR EL CONSUMO DE LICORES DESTILADOS INTRODUCIDOS DE PRODUCCION EXTRANJERA RECAUDADO POR EL DEPARTAMENTO
Ingresos corrientes,1.1.02.07.002.02,PARTICIPACION SOBRE EL ALCOHOL POTABLE CON DESTINO A LA FABRICACION DE LICORES
Ingresos corrientes,1.1.02.07.002.02.01,PARTICIPACION POR LA UTILIZACION DE ALCOHOL POTABLE PRODUCIDO
Ingresos corrientes,1.1.02.07.002.02.02,DERECHOS POR LA EXPLOTACION DE ALCOHOL POTABLE INTRODUCIDO
Ingresos corrientes,1.1.02.07.002.02.02.01,DERECHOS POR LA EXPLOTACION DE ALCOHOL POTABLE INTRODUCIDO DE PRODUCCION NACIONAL
Ingresos corrientes,1.1.02.07.002.02.02.02,DERECHOS POR LA EXPLOTACION DE ALCOHOL POTABLE INTRODUCIDO DE PRODUCCION EXTRANJERA
Transferencias del Gobierno Nacional,1.1.02.06,TRANSFERENCIAS CORRIENTES
Transferencias del Gobierno Nacional,1.1.02.06.001,SISTEMA GENERAL DE PARTICIPACIONES
Transferencias del Gobierno Nacional,1.1.02.06.001.01,PARTICIPACION PARA EDUCACION
Transferencias del Gobierno Nacional,1.1.02.06.001.01.01,PRESTACION DE SERVICIO EDUCATIVO
Transferencias del Gobierno Nacional,1.1.02.06.001.01.02,CANCELACION DE PRESTACIONES SOCIALES DEL MAGISTERIO
Transferencias del Gobierno Nacional,1.1.02.06.001.01.03,CALIDAD
Transferencias del Gobierno Nacional,1.1.02.06.001.01.03.01,CALIDADPOR MATRICULA OFICIAL
Transferencias del Gobierno Nacional,1.1.02.06.001.01.03.02,CALIDADPOR GRATUIDAD
Transferencias del Gobierno Nacional,1.1.02.06.001.02,PARTICIPACION PARA SALUD
Transferencias del Gobierno Nacional,1.1.02.06.001.02.01,REGIMEN SUBSIDIADO
Transferencias del Gobierno Nacional,1.1.02.06.001.02.02,SALUD PUBLICA
Transferencias del Gobierno Nacional,1.1.02.06.001.02.03,PRESTACION DEL SERVICIO DE SALUD
Transferencias del Gobierno Nacional,1.1.02.06.001.02.04,SUBSIDIO A LA OFERTA
Transferencias del Gobierno Nacional,1.1.02.06.001.03,PARTICIPACION PARA PROPOSITO GENERAL
Transferencias del Gobierno Nacional,1.1.02.06.001.03.01,DEPORTE Y RECREACION
Transferencias del Gobierno Nacional,1.1.02.06.001.03.02,CULTURA
Transferencias del Gobierno Nacional,1.1.02.06.001.03.03,PROPOSITO GENERAL LIBRE INVERSION
Transferencias del Gobierno Nacional,1.1.02.06.001.03.04,"PROPOSITO GENERAL LIBRE DESTINACION MUNICIPIOS CATEGORIAS 4, 5 Y 6"
Transferencias del Gobierno Nacional,1.1.02.06.001.04,ASIGNACIONES ESPECIALES
Transferencias del Gobierno Nacional,1.1.02.06.001.04.01,PROGRAMAS DE ALIMENTACION ESCOLAR
Transferencias del Gobierno Nacional,1.1.02.06.001.04.02,MUNICIPIOS DE LA RIBERA DEL RIO MAGDALENA
Transferencias del Gobierno Nacional,1.1.02.06.001.04.03,RESGUARDOS INDIGENAS
Transferencias del Gobierno Nacional,1.1.02.06.001.05,AGUA POTABLE Y SANEAMIENTO BASICO
Transferencias del Gobierno Nacional,1.1.02.06.001.06,ATENCION INTEGRAL DE LA PRIMERA INFANCIA
Transferencias del Gobierno Nacional,1.1.02.06.003,PARTICIPACIONES DISTINTAS DEL SGP
Transferencias del Gobierno Nacional,1.1.02.06.003.01,PARTICIPACION EN IMPUESTOS
Transferencias del Gobierno Nacional,1.1.02.06.003.01.01,"PARTICIPACION DEL IMPUESTO NACIONAL A LA EXPLOTACION DE ORO, PLATA Y PLATINO"
Transferencias del Gobierno Nacional,1.1.02.06.003.01.02,PARTICIPACION DEL IMPUESTO SOBRE VEHICULOS AUTOMOTORES
Transferencias del Gobierno Nacional,1.1.02.06.003.01.03,PARTICIPACION PROVIDENCIA
Transferencias del Gobierno Nacional,1.1.02.06.003.01.05,PARTICIPACION DEL IMPUESTO DE REGISTRO
Transferencias del Gobierno Nacional,1.1.02.06.003.01.07,PARTICIPACION DEL IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO
Transferencias del Gobierno Nacional,1.1.02.06.003.01.08,PARTICIPACION DEL IMPUESTO AL DEGÃœELLO DE GANADO MAYOR EN LOS TERMINOS QUE LO DEFINA LA ORDENANZA
Transferencias del Gobierno Nacional,1.1.02.06.003.01.09,PARTICIPACION DEL IVA ANTIGUAS INTENDENCIAS Y COMISARIAS
Transferencias del Gobierno Nacional,1.1.02.06.003.01.10,PARTICIPACION DE LA SOBRETASA AL ACPM
Transferencias del Gobierno Nacional,1.1.02.06.003.01.11,PARTICIPACION DEL IMPUESTO NACIONAL AL CONSUMO DEL SERVICIO DE TELEFONIA MOVIL
Transferencias del Gobierno Nacional,1.1.02.06.003.01.12,"PARTICIPACION DEL IVA LICORES, VINOS, APERITIVOS Y SIMILARES"
Transferencias del Gobierno Nacional,1.1.02.06.003.01.14,PARTICIPACION AMBIENTAL EN EL PORCENTAJE DE RECAUDO DEL IMPUESTO PREDIAL
Transferencias del Gobierno Nacional,1.1.02.06.003.02,PARTICIPACION EN CONTRIBUCIONES
Transferencias del Gobierno Nacional,1.1.02.06.003.02.01,PARTICIPACION SUPERAVIT DE LAS CONTRIBUCIONES DE SOLIDARIDAD DE SERVICIOS PUBLICOS
Transferencias del Gobierno Nacional,1.1.02.06.003.02.02,PARTICIPACION DE LA CONTRIBUCION PARAFISCAL CULTURAL
Transferencias del Gobierno Nacional,1.1.02.06.003.03,"PARTICIPACION EN MULTAS, SANCIONES E INTERESES DE MORA"
Transferencias del Gobierno Nacional,1.1.02.06.003.03.01,PARTICIPACION DE SANCIONES DEL IMPUESTO SOBRE VEHICULOS AUTOMOTORES
Transferencias del Gobierno Nacional,1.1.02.06.003.03.02,PARTICIPACION DE INTERESES DE MORA SOBRE EL IMPUESTO SOBRE VEHICULOS AUTOMOTORES
Transferencias del Gobierno Nacional,1.1.02.06.003.04,PARTICIPACION EN DERECHOS ECONOMICOS POR EL USO DE RECURSOS NATURALES
Transferencias del Gobierno Nacional,1.1.02.06.003.04.01,PARTICIPACION EN REGALIAS DEL REGIMEN ANTERIOR
Transferencias del Gobierno Nacional,1.1.02.06.003.04.01.01,"REGALIAS POR CALIZAS, YESOS, ARCILLAS, GRAVAS , MINERALES NO METALICOS Y MATERIALES DE CONSTRUCCION"
Transferencias del Gobierno Nacional,1.1.02.06.003.04.01.03,"REGALIAS POR HIDROCARBUROS, PETROLEO Y GAS"
Transferencias del Gobierno Nacional,1.1.02.06.003.04.01.05,"REGALIAS POR ORO, PLATA, PLATINO Y PIEDRAS PRECIOSAS"
Transferencias del Gobierno Nacional,1.1.02.06.004,COMPENSACIONES DE INGRESOS TRIBUTARIOS Y NO TRIBUTARIOS
Transferencias del Gobierno Nacional,1.1.02.06.004.02,COMPENSACION IMPUESTO PREDIAL UNIFICADO TERRITORIOS COLECTIVOS DE COMUNIDADES NEGRAS
Transferencias del Gobierno Nacional,1.1.02.06.004.03,COMPENSACION IMPUESTO PREDIAL UNIFICADO RESGUARDOS INDIGENAS
Transferencias del Gobierno Nacional,1.1.02.06.005,A ENTIDADES TERRITORIALES DISTINTAS DE PARTICIPACIONES Y COMPENSACIONES
Transferencias del Gobierno Nacional,1.1.02.06.005.01,SUMINISTRO DE MEDICAMENTOS DE LEISHMANIASIS
Transferencias del Gobierno Nacional,1.1.02.06.005.03,"FONDO DE DESARROLLO PARA LA GUAJIRA - FONDEG, ARTICULO 19 LEY 677 DE 2001"
Transferencias del Gobierno Nacional,1.1.02.06.005.04,APORTES A PROGRAMAS DE PREVENCION Y CONTROL DE ENFERMEDADES TRANSMITIDAS POR VECTORES
Transferencias del Gobierno Nacional,1.1.02.06.005.05,TRANSFERIR A LAS ENTIDADES TERRITORIALES PARA APOYAR LA OPERACION DEL PROGRAMA DE ALIMENTACION ESCOLAR
Transferencias del Gobierno Nacional,1.1.02.06.005.07,TRANSFERENCIA A FONDOS TERRITORIALES DE MITIGACION DEL RIESGO
Transferencias del Gobierno Nacional,1.1.02.06.005.09,ATENCION EN SALUD A POBLACION INIMPUTABLE POR TRASTORNO MENTAL
Transferencias del Gobierno Nacional,1.1.02.06.005.10,PROGRAMA ATENCION AREAS MARGINADAS Y POBLACION DISPERSA
Transferencias del Gobierno Nacional,1.1.02.06.005.11,CAMPAÃ‘A Y CONTROL ANTITUBERCULOSIS
Transferencias del Gobierno Nacional,1.1.02.06.005.12,CAMPAÃ‘AS CONTROL LEPRA
Transferencias del Gobierno Nacional,1.1.02.06.006,TRANSFERENCIAS DE OTRAS ENTIDADES DEL GOBIERNO GENERAL
Transferencias del Gobierno Nacional,1.1.02.06.006.01,APORTES NACION
Transferencias del Gobierno Nacional,1.1.02.06.006.02,DEVOLUCION IVA- INSTITUCIONES DE EDUCACION SUPERIOR
Transferencias del Gobierno Nacional,1.1.02.06.006.06,OTRAS UNIDADES DE GOBIERNO
Transferencias del Gobierno Nacional,1.1.02.06.006.09,RECURSOS PARA EL MEJORAMIENTO DE VIVIENDA URBANA Y RURAL
Transferencias del Gobierno Nacional,1.1.02.06.009,RECURSOS DEL SISTEMA DE SEGURIDAD SOCIAL INTEGRAL
Transferencias del Gobierno Nacional,1.1.02.06.009.01,SISTEMA GENERAL DE SEGURIDAD SOCIAL EN SALUD
Transferencias del Gobierno Nacional,1.1.02.06.009.01.05,RECURSOS ADRES - PAGO DE DEUDAS RECONOCIDAS DEL REGIMEN SUBSIDIADO EN SALUD
Transferencias del Gobierno Nacional,1.1.02.06.009.01.06,RECURSOS ADRES - COFINANCIACION UPC REGIMEN SUBSIDIADO
Transferencias del Gobierno Nacional,1.1.02.06.009.01.07,TRANSFERENCIA NACIONAL - FINANCIACION DEL REGIMEN SUBSIDIADO EN SALUD - LEY 1530 DE 2012
Transferencias del Gobierno Nacional,1.1.02.06.009.01.08,SALDOS DE LIQUIDACION DE LOS CONTRATOS PARA EL ASEGURAMIENTO EN EL REGIMEN SUBSIDIADO
Transferencias del Gobierno Nacional,1.1.02.06.009.01.09,TRANSFERENCIA CAJAS DE COMPENSACION FAMILIAR - FINANCIACION DEL REGIMEN SUBSIDIADO EN SALUD - LEY 100 DE 1993
Transferencias del Gobierno Nacional,1.1.02.06.009.01.11,APORTES DE UNIDADES DEL GOBIERNO GENERAL PARA EL FINANCIAMIENTO DEL SGSSS
Transferencias del Gobierno Nacional,1.1.02.06.009.01.11.01,APORTES DE LA NACION PARA EL ASEGURAMIENTO EN SALUD
Transferencias del Gobierno Nacional,1.1.02.06.009.01.11.09,RECURSOS DEPARTAMENTALES PARA ASEGURAMIENTO DEL REGIMEN SUBSIDIADO
Transferencias del Gobierno Nacional,1.1.02.06.009.02,SISTEMA GENERAL DE PENSIONES
Transferencias del Gobierno Nacional,1.1.02.06.009.02.02,CUOTAS PARTES PENSIONALES
Transferencias del Gobierno Nacional,1.1.02.06.010,SENTENCIAS Y CONCILIACIONES
Transferencias del Gobierno Nacional,1.1.02.06.010.01,FALLOS NACIONALES
Transferencias del Gobierno Nacional,1.1.02.06.010.01.01,SENTENCIAS
Transferencias del Gobierno Nacional,1.1.02.06.010.01.02,CONCILIACIONES
Transferencias del Gobierno Nacional,1.1.02.06.010.01.03,LAUDOS ARBITRALES
Transferencias del Gobierno Nacional,1.1.02.06.011,INDEMNIZACIONES RELACIONADAS CON SEGUROS NO DE VIDA
,1,INGRESOS
