item,item code
A ESQUEMAS ASOCIATIVOS,2.1.3.05.08.99
A OTRAS ENTIDADES DEL GOBIERNO GENERAL,2.1.3.05.09
TRANSFERENCIAS BIENESTAR UNIVERSITARIO LEY 30 DE 1992,2.1.3.05.09.001
A INSTITUTOS DE INVESTIGACION LEY 99 DE 1993,2.1.3.05.09.014
A UNIVERSIDADES PARA FUNCIONAMIENTO LEY 30 DE 1992 ARTICULO 86,2.1.3.05.09.015
"TRIBUNALES DE ETICA MEDICA, ODONTOLOGIA Y ENFERMERIA",2.1.3.05.09.016
ESCUELA NACIONAL DEL DEPORTE - ART. 51 DECRETO 2845 DE 1984,2.1.3.05.09.042
"ASEGURAMIENTO EN SALUD LEYES 100 DE 1993, 1122 DE 2007, 1393 DE 2010, 1438 DE 2011 Y 1607 DE 2012",2.1.3.05.09.045
ASEGURAMIENTO EN SALUD - ENTIDADES TERRITORIALES - IMPUESTO AL CONSUMO DE LICORES,2.1.3.05.09.048
"A INSTITUTOS TECNICOS, TECNOLOGICOS Y COLEGIOS MAYORES - DECRETO 1052 DE 2006",2.1.3.05.09.050
RECURSOS PARA TRANSFERIR A INSTITUCIONES DE EDUCACION SUPERIOR PUBLICAS - ARTICULO 142 DE LA LEY 1819 DE 2016,2.1.3.05.09.052
"FONDOS DE SERVICIOS EDUCATIVOS DE LAS INSTITUCIONES DE PREESCOLAR, BASICA Y MEDIA",2.1.3.05.09.053
FONDO DE INVESTIGACION EN SALUD,2.1.3.05.09.056
TRANSFERENCIAS A FONDOS DE DESARROLLO LOCAL,2.1.3.05.09.060
APORTES A ESTABLECIMIENTOS PUBLICOS Y UNIDADES ADMINISTRATIVAS ESPECIALES,2.1.3.05.09.099
PRESTACIONES PARA CUBRIR RIESGOS SOCIALES,2.1.3.07
PRESTACIONES DE ASISTENCIA SOCIAL,2.1.3.07.01
TRANSFERENCIA A COLPENSIONES PARA ADMINISTRACION BENEFICIOS ECONOMICOS PERIODICOS (OTRAS PRESTACIONES DE JUBILACION),2.1.3.07.01.002
PRESTACIONES SOCIALES RELACIONADAS CON EL EMPLEO,2.1.3.07.02
MESADAS PENSIONALES DE PENSIONES,2.1.3.07.02.001
MESADAS PENSIONALES CON CARGO A RESERVAS DE PENSIONES,2.1.3.07.02.001.01
MESADAS PENSIONALES A CARGO DE LA ENTIDAD DE PENSIONES,2.1.3.07.02.001.02
CUOTAS PARTES PENSIONALES DE PENSIONES,2.1.3.07.02.002
CUOTAS PARTES PENSIONALES CON CARGO A RESERVAS DE PENSIONES,2.1.3.07.02.002.01
CUOTAS PARTES PENSIONALES A CARGO DE LA ENTIDAD DE PENSIONES,2.1.3.07.02.002.02
BONOS PENSIONALES DE PENSIONES,2.1.3.07.02.003
BONOS PENSIONALES CON CARGO A RESERVAS DE PENSIONES,2.1.3.07.02.003.01
BONOS PENSIONALES A CARGO DE LA ENTIDAD DE PENSIONES,2.1.3.07.02.003.02
FONDO NACIONAL DE PRESTACIONES SOCIALES DEL MAGISTERIO DE PENSIONES,2.1.3.07.02.005
INCAPACIDADES Y LICENCIAS DE MATERNIDAD Y PATERNIDAD NO DE PENSIONES,2.1.3.07.02.010
INCAPACIDADES NO DE PENSIONES,2.1.3.07.02.010.01
LICENCIAS DE MATERNIDAD Y PATERNIDAD NO DE PENSIONES,2.1.3.07.02.010.02
AUXILIOS FUNERARIOS,2.1.3.07.02.012
AUXILIOS FUNERARIOS A CARGO DE LA ENTIDAD,2.1.3.07.02.012.02
APORTE PREVISION SOCIAL SERVICIOS MEDICOS (OTRAS PRESTACIONES DE JUBILACION),2.1.3.07.02.013
INDEMNIZACIONES ENFERMEDAD GENERAL NO DE PENSIONES,2.1.3.07.02.016
INDEMNIZACIONES NO DE PENSIONES,2.1.3.07.02.023
FONDO NACIONAL DE PRESTACIONES SOCIALES DEL MAGISTERIO NO DE PENSIONES,2.1.3.07.02.029
AUXILIO SINDICAL (NO DE PENSIONES),2.1.3.07.02.030
PROGRAMA DE SALUD OCUPACIONAL NO DE PENSIONES,2.1.3.07.02.031
BONIFICACION POR DESGASTE FISICO,2.1.3.07.02.093
AUXILIOS SALUD VISUAL,2.1.3.07.02.094
AUXILIOS SALUD DENTAL,2.1.3.07.02.095
AUXILIOS MEDICOS,2.1.3.07.02.097
AUXILIOS EDUCATIVOS,2.1.3.07.02.098
AUXILIOS PARA RECREACION,2.1.3.07.02.099
PRESTACIONES SOCIALES ASUMIDAS POR EL GOBIERNO,2.1.3.07.03
AFILIACION RIESGOS LABORALES CONTRATISTAS GRADO IV Y V,2.1.3.07.03.013
A LOS HOGARES DIFERENTES DE PRESTACIONES SOCIALES,2.1.3.08
ACTIVIDADES DE PROMOCION Y DESARROLLO DE LA CULTURA,2.1.3.08.04
RECURSOS PARA EL MEJORAMIENTO DE VIVIENDA URBANA Y RURAL,2.1.3.08.08
A INSTITUCIONES SIN ANIMO DE LUCRO QUE SIRVEN A LOS HOGARES,2.1.3.09
SOBRETASA BOMBERILCUERPOS DE BOMBEROS VOLUNTARIOS,2.1.3.09.16
RECURSOS DEL SISTEMA DE SEGURIDAD SOCIAL INTEGRAL,2.1.3.11
SISTEMA GENERAL DE PENSIONES,2.1.3.11.02
CAPITALIZACION DE PATRIMONIOS AUTONOMOS PENSIONALES,2.1.3.11.02.001
CAPITALIZACION DEL FONDO NACIONAL DE PRESTACIONES SOCIALES DEL MAGISTERIO FOMAG,2.1.3.11.02.001.01
CAPITALIZACION DE OTROS PATRIMONIOS AUTONOMOS PENSIONALES,2.1.3.11.02.001.02
SENTENCIAS Y CONCILIACIONES,2.1.3.13
FALLOS NACIONALES,2.1.3.13.01
SENTENCIAS,2.1.3.13.01.001
CONCILIACIONES,2.1.3.13.01.002
LAUDOS ARBITRALES,2.1.3.13.01.003
APORTES AL FONPET,2.1.3.14
DEL IMPUESTO DE REGISTRO,2.1.3.14.01
DE LOS INGRESOS CORRIENTES DE LOS DEPARTAMENTOS,2.1.3.14.02
POR LA VENTA DE ACTIVOS,2.1.3.14.03
POR ACUERDOS DE PAGO,2.1.3.14.04
APORTES VOLUNTARIOS,2.1.3.14.05
TRANSFERENCIAS DE CAPITAL,2.1.4
ENTIDADES DEL GOBIERNO GENERAL,2.1.4.02
ORGANOS DEL PGN,2.1.4.02.01
ENTIDADES TERRITORIALES DISTINTAS DE PARTICIPACIONES Y COMPENSACIONES,2.1.4.02.02
ESQUEMAS ASOCIATIVOS,2.1.4.02.03
ENTIDADES DEL GOBIERNO GENERAL,2.1.4.02.04
A OTRAS ENTIDADES PUBLICAS,2.1.4.02.05
CAPITALIZACION DE EMPRESAS DESCENTRALIZADAS DEL NIVEL TERRITORIAL,2.1.4.02.05.003
COMPENSACIONES DE CAPITAL,2.1.4.03
GASTOS DE COMERCIALIZACION Y PRODUCCION,2.1.5
MATERIALES Y SUMINISTROS,2.1.5.01
"MINERALES, ELECTRICIDAD, GAS Y AGUA",2.1.5.01.01
"PRODUCTOS ALIMENTICIOS, BEBIDAS Y TABACO, TEXTILES, PRENDAS DE VESTIR Y PRODUCTOS DE CUERO",2.1.5.01.02
"OTROS BIENES TRANSPORTABLES EXCEPTO PRODUCTOS METALICOS, MAQUINARIA Y EQUIPO",2.1.5.01.03
"PRODUCTOS METALICOS, MAQUINARIA Y EQUIPO",2.1.5.01.04
ADQUISICION DE SERVICIOS,2.1.5.02
CONSTRUCCION Y SERVICIOS DE LA CONSTRUCCION,2.1.5.02.05
"COMERCIO Y DISTRIBUCION; ALOJAMIENTO; SERVICIOS DE SUMINISTRO DE COMIDAS Y BEBIDAS; SERVICIOS DE TRANSPORTE; Y SERVICIOS DE DISTRIBUCION DE ELECTRICIDAD, GAS Y AGUA",2.1.5.02.06
SERVICIOS FINANCIEROS Y SERVICIOS CONEXOS; SERVICIOS INMOBILIARIOS; Y SERVICIOS DE ARRENDAMIENTO Y LEASING,2.1.5.02.07
SERVICIOS PRESTADOS A LAS EMPRESAS Y SERVICIOS DE PRODUCCION,2.1.5.02.08
"SERVICIOS PARA LA COMUNIDAD, SOCIALES Y PERSONALES",2.1.5.02.09
ADQUISICION DE ACTIVOS FINANCIEROS,2.1.6
CONCESION DE PRESTAMOS,2.1.6.01
A PERSONAS NATURALES,2.1.6.01.04
CREDITO HIPOTECARIO PARA SUS EMPLEADOS,2.1.6.01.04.002
FONDO DE PRESTAMOS,2.1.6.01.04.003
ADQUISICION DE ACCIONES,2.1.6.02
DE EMPRESAS PUBLICAS NO FINANCIERAS,2.1.6.02.03
DE EMPRESAS PRIVADAS NO FINANCIERAS,2.1.6.02.05
ADQUISICION DE OTRAS PARTICIPACIONES DE CAPITAL,2.1.6.03
EN EMPRESAS PUBLICAS NO FINANCIERAS,2.1.6.03.03
CAPITALIZACION PARA EL FORTALECIMIENTO DE LOS CANALES PUBLICOS DE TELEVISION,2.1.6.03.03.001
DISMINUCION DE PASIVOS,2.1.7
CESANTIAS,2.1.7.01
CESANTIAS DEFINITIVAS,2.1.7.01.01
CESANTIAS PARCIALES,2.1.7.01.02
DEVOLUCION DEL AHORRO VOLUNTARIO DE LOS TRABAJADORES,2.1.7.02
DEVOLUCIONES TRIBUTARIAS,2.1.7.04
PROGRAMAS DE SANEAMIENTO FISCAL Y FINANCIERO,2.1.7.05
PROGRAMAS DE SANEAMIENTO FISCAL Y FINANCIERO EMPRESAS SOCIALES DEL ESTADO ESE,2.1.7.05.01
PAGO DE INDEMNIZACIONES ORIGINADAS EN PROGRAMAS DE SANEAMIENTO FISCAL Y FINANCIERO,2.1.7.05.02
"PAGO DE DEFICIT FISCAL, DE PASIVO LABORAL Y PRESTACIONAL EN PROGRAMAS DE SANEAMIENTO FISCAL Y FINANCIERO",2.1.7.05.03
FINANCIACION DE DEFICIT FISCAL,2.1.7.06
GASTOS DE PERSONAL,2.1.7.06.01
ADQUISICION DE BIENES Y SERVICIOS,2.1.7.06.02
TRANSFERENCIAS CORRIENTES,2.1.7.06.03
TRANSFERENCIAS DE CAPITAL,2.1.7.06.04
ADQUISICION DE ACTIVOS FINANCIEROS,2.1.7.06.05
"GASTOS POR TRIBUTOS, TASAS, DERECHOS, MULTAS, SANCIONES E INTERESES DE MORA",2.1.7.06.06
"GASTOS POR TRIBUTOS, TASAS, CONTRIBUCIONES, MULTAS, SANCIONES E INTERESES DE MORA",2.1.8
IMPUESTOS,2.1.8.01
IMPUESTO NACIONAL AL CONSUMO,2.1.8.01.09
GRAVAMEN A LOS MOVIMIENTOS FINANCIEROS,2.1.8.01.14
IMPUESTO SOBRE VEHICULOS AUTOMOTORES,2.1.8.01.51
IMPUESTO PREDIAL UNIFICADO,2.1.8.01.52
IMPUESTO DE REGISTRO,2.1.8.01.53
IMPUESTO SOBRE DELINEACION URBANA,2.1.8.01.55
IMPUESTO DE ALUMBRADO PUBLICO,2.1.8.01.56
SOBRETASA BOMBERIL,2.1.8.01.57
SOBRETASA AMBIENTAL,2.1.8.01.58
IMPUESTO DE LOTERIAS FORANEAS,2.1.8.01.60
ESTAMPILLAS,2.1.8.02
TASAS Y DERECHOS ADMINISTRATIVOS,2.1.8.03
CONTRIBUCIONES,2.1.8.04
CONTRIBUCION DE VALORIZACION,2.1.8.04.03
CONTRIBUCION - SUPERINTENDENCIA DE SERVICIOS PUBLICOS DOMICILIARIOS,2.1.8.04.05
CONTRIBUCION ADICIONAL - SUPERINTENDENCIA DE SERVICIOS PUBLICOS DOMICILIARIOS,2.1.8.04.15
CONTRIBUCION COMISIONES REGULACION DE AGUA POTABLE Y SANEAMIENTO BASICO - CRA,2.1.8.04.16
"MULTAS, SANCIONES E INTERESES DE MORA",2.1.8.05
MULTAS Y SANCIONES,2.1.8.05.01
MULTAS SUPERINTENDENCIAS,2.1.8.05.01.001
MULTAS JUDICIALES,2.1.8.05.01.002
SANCIONES CONTRACTUALES,2.1.8.05.01.003
SANCIONES ADMINISTRATIVAS,2.1.8.05.01.004
INTERESES DE MORA,2.1.8.05.02
SERVICIO DE LA DEUDA PUBLICA,2.2
SERVICIO DE LA DEUDA PUBLICA EXTERNA,2.2.1
PRINCIPAL,2.2.1.01
PRESTAMOS,2.2.1.01.02
BANCA COMERCIAL,2.2.1.01.02.001
BANCA DE FOMENTO,2.2.1.01.02.002
GOBIERNOS,2.2.1.01.02.003
ORGANISMOS MULTILATERALES,2.2.1.01.02.004
OTRAS CUENTAS POR PAGAR,2.2.1.01.03
PROVEEDORES,2.2.1.01.03.001
INTERESES,2.2.1.02
TITULOS DE DEUDA,2.2.1.02.01
TITULOS VALORES,2.2.1.02.01.001
PRESTAMOS,2.2.1.02.02
BANCA COMERCIAL,2.2.1.02.02.001
BANCA DE FOMENTO,2.2.1.02.02.002
GOBIERNOS,2.2.1.02.02.003
ORGANISMOS MULTILATERALES,2.2.1.02.02.004
COMISIONES Y OTROS GASTOS,2.2.1.03
TITULOS DE DEUDA,2.2.1.03.01
TITULOS VALORES,2.2.1.03.01.001
PRESTAMOS,2.2.1.03.02
BANCA DE FOMENTO,2.2.1.03.02.002
ORGANISMOS MULTILATERALES,2.2.1.03.02.004
OTRAS CUENTAS POR PAGAR,2.2.1.03.03
SERVICIO DE LA DEUDA PUBLICA INTERNA,2.2.2
PRINCIPAL,2.2.2.01
PRESTAMOS,2.2.2.01.02
NACION,2.2.2.01.02.001
ENTIDADES FINANCIERAS,2.2.2.01.02.002
BANCA COMERCIAL,2.2.2.01.02.002.02
DEUDA ASUMIDA,2.2.2.01.02.002.02.02
BANCA COMERCIAL,2.2.2.01.02.002.02.03
BANCA DE FOMENTO,2.2.2.01.02.002.03
INSTITUTOS DE DESARROLLO DEPARTAMENTAL Y DEL O MUNICIPAL,2.2.2.01.02.002.04
OTRAS ENTIDADES NO FINANCIERAS,2.2.2.01.02.003
OTRAS CUENTAS POR PAGAR,2.2.2.01.03
PROVEEDORES,2.2.2.01.03.001
INTERESES,2.2.2.02
TITULOS DE DEUDA,2.2.2.02.01
TITULOS VALORES,2.2.2.02.01.001
BONOS AGRARIOS,2.2.2.02.01.001.01
OTROS BONOS Y TITULOS EMITIDOS,2.2.2.02.01.001.06
PRESTAMOS,2.2.2.02.02
NACION,2.2.2.02.02.001
ENTIDADES FINANCIERAS,2.2.2.02.02.002
BANCA COMERCIAL,2.2.2.02.02.002.02
DEUDA ASUMIDA,2.2.2.02.02.002.02.02
BANCA COMERCIAL,2.2.2.02.02.002.02.03
BANCA DE FOMENTO,2.2.2.02.02.002.03
INSTITUTOS DE DESARROLLO DEPARTAMENTAL Y DEL O MUNICIPAL,2.2.2.02.02.002.04
OTRAS ENTIDADES NO FINANCIERAS,2.2.2.02.02.003
COMISIONES Y OTROS GASTOS,2.2.2.03
TITULOS DE DEUDA,2.2.2.03.01
TITULOS VALORES,2.2.2.03.01.001
BONOS PARA LA PAZ,2.2.2.03.01.001.01
OTROS BONOS Y TITULOS EMITIDOS,2.2.2.03.01.001.04
PRESTAMOS,2.2.2.03.02
ENTIDADES FINANCIERAS,2.2.2.03.02.002
BANCA COMERCIAL,2.2.2.03.02.002.02
BANCA DE FOMENTO,2.2.2.03.02.002.03
INSTITUTOS DE DESARROLLO DEPARTAMENTAL Y DEL O MUNICIPAL,2.2.2.03.02.002.04
OTRAS CUENTAS POR PAGAR,2.2.2.03.03
APORTES AL FONDO DE CONTINGENCIAS,2.2.2.04
BONOS PENSIONALES,2.2.2.05
TIPO A,2.2.2.05.01
TIPO B,2.2.2.05.02
INVERSION,2.3
GASTOS DE PERSONAL,2.3.1
PLANTA DE PERSONAL PERMANENTE,2.3.1.01
FACTORES CONSTITUTIVOS DE SALARIO,2.3.1.01.01
FACTORES SALARIALES COMUNES,2.3.1.01.01.001
SUELDO BASICO,2.3.1.01.01.001.01
"HORAS EXTRAS, DOMINICALES, FESTIVOS Y RECARGOS",2.3.1.01.01.001.02
GASTOS DE REPRESENTACION,2.3.1.01.01.001.03
SUBSIDIO DE ALIMENTACION,2.3.1.01.01.001.04
AUXILIO DE TRANSPORTE,2.3.1.01.01.001.05
PRIMA DE SERVICIO,2.3.1.01.01.001.06
BONIFICACION POR SERVICIOS PRESTADOS,2.3.1.01.01.001.07
PRESTACIONES SOCIALES,2.3.1.01.01.001.08
PRIMA DE NAVIDAD,2.3.1.01.01.001.08.01
PRIMA DE VACACIONES,2.3.1.01.01.001.08.02
PRIMA TECNICA SALARIAL,2.3.1.01.01.001.09
VIATICOS DE LOS FUNCIONARIOS EN COMISION,2.3.1.01.01.001.10
FACTORES SALARIALES ESPECIALES,2.3.1.01.01.002
PRIMAS EXTRAORDINARIAS,2.3.1.01.01.002.06
SOBRESUELDO,2.3.1.01.01.002.16
"BONIFICACION PEDAGOGICA DOCENTES PRESCOLAR, BASICA Y MEDIA",2.3.1.01.01.002.31
"SOBRESUELDO DOCENTES Y DIRECTIVOS DOCENTES PRESCOLAR, BASICA Y MEDIA",2.3.1.01.01.002.32
CONTRIBUCIONES INHERENTES A LA NOMINA,2.3.1.01.02
APORTES A LA SEGURIDAD SOCIAL EN PENSIONES,2.3.1.01.02.001
APORTES A LA SEGURIDAD SOCIAL EN SALUD,2.3.1.01.02.002
APORTES DE CESANTIAS,2.3.1.01.02.003
APORTES A CAJAS DE COMPENSACION FAMILIAR,2.3.1.01.02.004
APORTES GENERALES AL SISTEMA DE RIESGOS LABORALES,2.3.1.01.02.005
APORTES AL ICBF,2.3.1.01.02.006
APORTES AL SENA,2.3.1.01.02.007
APORTES A LA ESAP,2.3.1.01.02.008
APORTES A ESCUELAS INDUSTRIALES E INSTITUTOS TECNICOS,2.3.1.01.02.009
REMUNERACIONES NO CONSTITUTIVAS DE FACTOR SALARIAL,2.3.1.01.03
PRESTACIONES SOCIALES,2.3.1.01.03.001
VACACIONES,2.3.1.01.03.001.01
INDEMNIZACION POR VACACIONES,2.3.1.01.03.001.02
BONIFICACION ESPECIAL DE RECREACION,2.3.1.01.03.001.03
RECONOCIMIENTO POR PERMANENCIA EN EL SERVICIO PUBLICO - BOGOTA D.C.,2.3.1.01.03.005
PRIMA TECNICA NO SALARIAL,2.3.1.01.03.009
PRIMA SECRETARIAL,2.3.1.01.03.068
BONIFICACION CARGO ACADEMICO ADMINISTRATIVO,2.3.1.01.03.096
BONIFICACIONPOR PRODUCTIVIDAD ACADEMICA,2.3.1.01.03.097
BONIFICACION EDUCADORES DE BASICA Y MEDIA,2.3.1.01.03.098
"BONIFICACION ZONA DE DIFICIL ACCESO DOCENTES PRESCOLAR, BASICA Y MEDIA",2.3.1.01.03.101
"BONIFICACION GRADO 14 DOCENTES PRESCOLAR, BASICA Y MEDIA",2.3.1.01.03.102
"RECONOCIMIENTO ADICIONAL POR GESTION DIRECTIVOS DOCENTES PRESCOLAR, BASICA Y MEDIA",2.3.1.01.03.103
PRIMA DE COORDINACION ACADEMICA Y DISCIPLINA,2.3.1.01.03.105
AUXILIOS SALUD VISUAL,2.3.1.01.03.107
AUXILIOS MEDICOS,2.3.1.01.03.110
AUXILIOS EDUCATIVOS,2.3.1.01.03.111
AUXILIOS PARA RECREACION,2.3.1.01.03.113
PRIMA ESPECIAL,2.3.1.01.03.117
PERSONAL SUPERNUMERARIO Y PLANTA TEMPORAL,2.3.1.02
FACTORES CONSTITUTIVOS DE SALARIO,2.3.1.02.01
FACTORES SALARIALES COMUNES,2.3.1.02.01.001
SUELDO BASICO,2.3.1.02.01.001.01
"HORAS EXTRAS, DOMINICALES, FESTIVOS Y RECARGOS",2.3.1.02.01.001.02
GASTOS DE REPRESENTACION,2.3.1.02.01.001.03
SUBSIDIO DE ALIMENTACION,2.3.1.02.01.001.04
AUXILIO DE TRANSPORTE,2.3.1.02.01.001.05
PRIMA DE SERVICIO,2.3.1.02.01.001.06
BONIFICACION POR SERVICIOS PRESTADOS,2.3.1.02.01.001.07
PRESTACIONES SOCIALES,2.3.1.02.01.001.08
PRIMA DE NAVIDAD,2.3.1.02.01.001.08.01
PRIMA DE VACACIONES,2.3.1.02.01.001.08.02
PRIMA TECNICA SALARIAL,2.3.1.02.01.001.09
VIATICOS DE LOS FUNCIONARIOS EN COMISION,2.3.1.02.01.001.10
FACTORES SALARIALES ESPECIALES,2.3.1.02.01.002
PRIMAS EXTRAORDINARIAS,2.3.1.02.01.002.06
"BONIFICACION PEDAGOGICA DOCENTES PRESCOLAR, BASICA Y MEDIA",2.3.1.02.01.002.32
"SOBRESUELDO DOCENTES Y DIRECTIVOS DOCENTES PRESCOLAR, BASICA Y MEDIA",2.3.1.02.01.002.33
BONIFICACION EDUCADORES DE BASICA Y MEDIA,2.3.1.02.01.002.34
PRIMA DE CLIMA O DE CALOR,2.3.1.02.01.002.36
PRIMA MOVIL,2.3.1.02.01.002.37
CONTRIBUCIONES INHERENTES A LA NOMINA,2.3.1.02.02
APORTES A LA SEGURIDAD SOCIAL EN PENSIONES,2.3.1.02.02.001
APORTES A LA SEGURIDAD SOCIAL EN SALUD,2.3.1.02.02.002
APORTES DE CESANTIAS,2.3.1.02.02.003
APORTES A CAJAS DE COMPENSACION FAMILIAR,2.3.1.02.02.004
APORTES GENERALES AL SISTEMA DE RIESGOS LABORALES,2.3.1.02.02.005
APORTES AL ICBF,2.3.1.02.02.006
APORTES AL SENA,2.3.1.02.02.007
APORTES A LA ESAP,2.3.1.02.02.008
APORTES A ESCUELAS INDUSTRIALES E INSTITUTOS TECNICOS,2.3.1.02.02.009
REMUNERACIONES NO CONSTITUTIVAS DE FACTOR SALARIAL,2.3.1.02.03
PRESTACIONES SOCIALES,2.3.1.02.03.001
VACACIONES,2.3.1.02.03.001.01
INDEMNIZACION POR VACACIONES,2.3.1.02.03.001.02
BONIFICACION ESPECIAL DE RECREACION,2.3.1.02.03.001.03
PRIMA SECRETARIAL,2.3.1.02.03.044
AUXILIO DE MOVILIZACION,2.3.1.02.03.076
PRIMA O AUXILIO DE MATERNIDAD,2.3.1.02.03.086
BONIFICACION EDUCADORES DE BASICA Y MEDIA,2.3.1.02.03.091
"BONIFICACION ZONA DE DIFICIL ACCESO DOCENTES PRESCOLAR, BASICA Y MEDIA",2.3.1.02.03.094
"BONIFICACION GRADO 14 DOCENTES PRESCOLAR, BASICA Y MEDIA",2.3.1.02.03.095
AUXILIOS EDUCATIVOS,2.3.1.02.03.104
ADQUISICION DE BIENES Y SERVICIOS,2.3.2
ADQUISICION DE ACTIVOS NO FINANCIEROS,2.3.2.01
ACTIVOS FIJOS,2.3.2.01.01
EDIFICACIONES Y ESTRUCTURAS,2.3.2.01.01.001
VIVIENDAS,2.3.2.01.01.001.01
EDIFICIOS UTILIZADOS PARA RESIDENCIA,2.3.2.01.01.001.01.01
CASAS FLOTANTES,2.3.2.01.01.001.01.02
BARCAZAS,2.3.2.01.01.001.01.03
VIVIENDAS MOVILES,2.3.2.01.01.001.01.04
CONSTRUCCIONES PREFABRICADAS,2.3.2.01.01.001.01.08
OTROS EDIFICIOS UTILIZADOS COMO RESIDENCIA,2.3.2.01.01.001.01.09
EDIFICACIONES DISTINTAS A VIVIENDAS,2.3.2.01.01.001.02
MONUMENTOS PUBLICOS NO RESIDENCIALES,2.3.2.01.01.001.02.01
EDIFICIOS INDUSTRIALES,2.3.2.01.01.001.02.02
EDIFICIOS COMERCIALES,2.3.2.01.01.001.02.03
EDIFICIOS PUBLICOS DE ENTRETENIMIENTO,2.3.2.01.01.001.02.04
EDIFICIOS DE HOTELES,2.3.2.01.01.001.02.05
RESTAURANTES,2.3.2.01.01.001.02.06
EDIFICIOS EDUCATIVOS,2.3.2.01.01.001.02.07
EDIFICIOS RELACIONADOS CON SALUD,2.3.2.01.01.001.02.08
EDIFICIOS Y ESTRUCTURAS PARA FINES MILITARES,2.3.2.01.01.001.02.10
INSTALACIONES RECREATIVAS,2.3.2.01.01.001.02.11
CENTROS DE CONVENCIONES Y CONGRESOS,2.3.2.01.01.001.02.12
EDIFICIOS AGRICOLAS NO RESIDENCIALES,2.3.2.01.01.001.02.13
OTROS EDIFICIOS NO RESIDENCIALES,2.3.2.01.01.001.02.14
OTRAS ESTRUCTURAS,2.3.2.01.01.001.03
MONUMENTOS PUBLICOS,2.3.2.01.01.001.03.01
"AUTOPISTAS, CARRETERAS, CALLES",2.3.2.01.01.001.03.02
FERROCARRILES,2.3.2.01.01.001.03.03
PISTAS DE ATERRIZAJE,2.3.2.01.01.001.03.04
PUENTES,2.3.2.01.01.001.03.05
CARRETERAS ELEVADAS,2.3.2.01.01.001.03.06
TUNELES,2.3.2.01.01.001.03.07
"ACUEDUCTOS Y OTROS CONDUCTOS DE SUMINISTROS DE AGUAS, EXCEPTO GASODUCTOS",2.3.2.01.01.001.03.08
"PUERTOS, VIAS NAVEGABLES E INSTALACIONES CONEXAS",2.3.2.01.01.001.03.09
REPRESAS,2.3.2.01.01.001.03.10
SISTEMAS DE RIEGO Y OBRAS HIDRAULICAS,2.3.2.01.01.001.03.11
TUBERIAS DE LARGA DISTANCIA,2.3.2.01.01.001.03.12
OBRAS PARA LA COMUNICACION DE LARGA DISTANCIA Y LAS LINEAS ELECTRICAS CABLES,2.3.2.01.01.001.03.13
GASODUCTOS Y OLEODUCTOS,2.3.2.01.01.001.03.14
CABLES LOCALES Y OBRAS CONEXAS,2.3.2.01.01.001.03.15
ALCANTARILLAS Y PLANTAS DE TRATAMIENTO DE AGUA,2.3.2.01.01.001.03.16
CONSTRUCCIONES EN MINAS Y PLANTAS INDUSTRIALES,2.3.2.01.01.001.03.17
CONSTRUCCIONES DEPORTIVAS AL AIRE LIBRE,2.3.2.01.01.001.03.18
OTRAS OBRAS DE INGENIERIA CIVIL,2.3.2.01.01.001.03.19
MEJORAS DE TIERRAS Y TERRENOS,2.3.2.01.01.001.04
MAQUINARIA Y EQUIPO,2.3.2.01.01.003
MAQUINARIA PARA USO GENERAL,2.3.2.01.01.003.01
MOTORES Y TURBINAS Y SUS PARTES,2.3.2.01.01.003.01.01
"BOMBAS, COMPRESORES, MOTORES DE FUERZA HIDRAULICA Y MOTORES DE POTENCIA NEUMATICA Y VALVULAS Y SUS PARTES Y PIEZAS",2.3.2.01.01.003.01.02
"COJINES, ENGRANAJES, RUEDAS DE FICCION Y ELEMENTOS DE TRANSMISION Y SUS PARTES Y PIEZAS",2.3.2.01.01.003.01.03
HORNOS Y QUEMADORES PARA ALIMENTACION DE HOGARES Y SUS PARTES Y PIEZAS,2.3.2.01.01.003.01.04
EQUIPOS DE ELEVACION Y MANIPULACION Y SUS PARTES Y PIEZAS,2.3.2.01.01.003.01.05
OTRAS MAQUINAS PARA USOS GENERALES Y SUS PARTES Y PIEZAS,2.3.2.01.01.003.01.06
MAQUINARIA PARA USOS ESPECIALES,2.3.2.01.01.003.02
MAQUINARIA AGROPECUARIA O SILVICOLA Y SUS PARTES Y PIEZAS,2.3.2.01.01.003.02.01
"MAQUINAS HERRAMIENTAS Y SUS PARTES, PIEZAS Y ACCESORIOS",2.3.2.01.01.003.02.02
MAQUINARIA PARA LA INDUSTRIA METALURGICA Y SUS PARTES Y PIEZAS,2.3.2.01.01.003.02.03
"MAQUINARIA PARA LA MINERIA, LA EXPLOTACION DE CANTERAS Y LA CONSTRUCCION Y SUS PARTES Y PIEZAS",2.3.2.01.01.003.02.04
"MAQUINARIA PARA LA ELABORACION DE ALIMENTOS, BEBIDAS Y TABACO, Y SUS PARTES Y PIEZAS",2.3.2.01.01.003.02.05
"MAQUINARIA PARA LA FABRICACION DE TEXTILES, PRENDAS DE VESTIR Y ARTICULOS DE CUERO, Y SUS PARTES Y PIEZAS",2.3.2.01.01.003.02.06
APARATOS DE USO DOMESTICO Y SUS PARTES Y PIEZAS,2.3.2.01.01.003.02.07
OTRA MAQUINARIA PARA USOS ESPECIALES Y SUS PARTES Y PIEZAS,2.3.2.01.01.003.02.08
